Velocity without noise x,Velocity without noise y,Velocity with noise z,Velocity with noise y,Velocity with noise z,global time
0.05439132574249011,-0.19246190190262158,0.0,0.14805315399512856,-0.42974760379587357,-0.06124347902969556,112.71
0.054583760416655386,-0.1924074143550013,0.0,0.22313540148968108,-0.3569764099818463,-0.009024619595766399,112.72
0.05477614050706445,-0.19235273439998282,0.0,0.5374963656669473,0.00010620263936320096,0.03745934069288528,112.73
0.054968465821337555,-0.19229786209224597,0.0,0.033173140970755056,0.0391691423039823,-0.027014498165446377,112.74
0.055160736167149775,-0.19224279748666295,0.0,-0.013460760563978165,-0.6572949788041202,0.06001221819807891,112.75
0.05535295135223009,-0.19218754063829854,0.0,0.46026142763906497,-0.6322333294103087,0.16280072687178404,112.76
0.05554511118436365,-0.19213209160240952,0.0,-0.012818876760313978,-0.09610346825906398,0.02993518397027599,112.77
0.055737215471390655,-0.1920764504344449,0.0,0.10508083977691829,0.0931703942706997,-0.06496160815556414,112.78
0.05592926402120718,-0.1920206171900458,0.0,0.13440327577384087,-0.15421106583423383,-0.23746902883816762,112.79
0.05612125664176401,-0.19196459192504556,0.0,0.12146009324698546,-0.03684241433360538,-0.1505517347167608,112.8
0.056313193141068876,-0.1919083746954694,0.0,0.48446242107261867,0.2807814609572705,-0.1572337857718705,112.81
0.05650507332718562,-0.19185196555753445,0.0,-0.34560635831231146,0.3175781186530794,-0.16564075636800193,112.82
0.05669689700823342,-0.19179536456765,0.0,0.08026322841142311,0.053185578396623884,0.09410484275027331,112.83
0.05688866399238893,-0.191738571782417,0.0,-0.202493881114878,-0.2156806026473266,0.12665566615524448,112.84
0.05708037408788552,-0.19168158725862808,0.0,0.05607780639514415,-0.32744113681555287,0.04784785442681409,112.85
0.05727202710301245,-0.191624411053268,0.0,0.3058753305041004,0.011989034007888255,0.011148716192025395,112.86
0.05746362284611705,-0.1915670432235128,0.0,0.11562431726240979,-0.12774164208902472,0.2439566676536773,112.87
0.057655161125603926,-0.19150948382673025,0.0,-0.006972568924832584,0.174699233330093,-0.21157118677460163,112.88
0.05784664174993415,-0.19145173292047993,0.0,0.0048931467060534944,-0.04418333434152216,0.19102665724209245,112.89
0.058038064527627435,-0.19139379056251266,0.0,0.024783435712541046,-0.14903269687394338,0.32764171017445903,112.9
0.05822942926726137,-0.19133565681077067,0.0,0.5408472079023556,-0.3719113868934403,0.1063035102457486,112.91
0.05842073577747055,-0.1912773317233879,0.0,-0.024229228833373723,0.0589110621488006,-0.2570611798573067,112.92
0.058611983866948825,-0.19121881535868934,0.0,-0.2089088371127319,0.29303425890983403,-0.005082569513699809,112.93
0.058803173344448456,-0.1911601077751913,0.0,0.5360754339862333,0.18598744507967116,-0.35614565630383543,112.94
0.0589943040187793,-0.1911012090316015,0.0,0.0982235580674557,-0.06441685472286451,-0.4060966953661499,112.95
0.05918537569881105,-0.19104211918681857,0.0,-0.011897137839428792,-0.07106372353452822,-0.12385542108577788,112.96
0.059376388193472365,-0.1909828382999323,0.0,0.20440450490447748,-0.23024798230509547,-0.13904866961767956,112.97
0.0595673413117501,-0.1909233664302237,0.0,-0.03980067173241791,-0.08403634761299794,0.2317655143118739,112.98
0.05975823486269149,-0.19086370363716462,0.0,0.2589451636727439,-0.25356609269751124,0.019047853419615346,112.99
0.05994906865540333,-0.1908038499804177,0.0,-0.31986141575328764,-0.31351400859157175,-0.16032492314654545,113.0
0.06013984249905117,-0.1907438055198368,0.0,0.012928852405133869,-0.2247487392220709,0.08551819380574058,113.01
0.06033055620286152,-0.19068357031546626,0.0,0.2694333031394457,-0.4535593160943122,-0.07463912310960488,113.02
0.0605212095761207,-0.19062314442754133,0.0,-0.158205190674671,0.22230046920045324,0.10333857101801971,113.03
0.06071180242817569,-0.19056252791648773,0.0,-0.004067551570383458,-0.14496471017995852,0.21570254357634153,113.04
0.06090233456843296,-0.1905017208429222,0.0,-0.07847527576779581,0.20512206127895924,-0.3695281702409079,113.05
0.06109280580636074,-0.1904407232676517,0.0,0.2917099753436843,-0.4862445045265121,-0.19196993570432117,113.06
0.06128321595148816,-0.19037953525167373,0.0,0.30077554263081063,-0.2593352324737824,-0.22396056698842806,113.07
0.06147356481340438,-0.19031815685617642,0.0,0.02151085497558513,-0.10976338235981835,0.016573061416815867,113.08
0.06166385220176092,-0.19025658814253815,0.0,-0.1410922936486096,-0.4465132771975516,-0.012133431915652693,113.09
0.06185407792627073,-0.19019482917232747,0.0,-0.010748015413595331,-0.6590887924851049,0.2952047915295442,113.1
0.06204424179670742,-0.1901328800073036,0.0,0.32970016943401037,-0.13671488348138774,0.4457627588653555,113.11
0.0622343436229075,-0.19007074070941554,0.0,0.04297429697852094,-0.3400725145377723,0.08947170015579499,113.12
0.062424383214769466,-0.1900084113408025,0.0,0.4227168789413753,-0.2431929266447376,0.06016588201240908,113.13
0.06261436038225275,-0.1899458919637942,0.0,0.15318575721321426,-0.22417025348757977,-0.0829872046401698,113.14
0.06280427493538156,-0.18988318264090953,0.0,-0.11849344601837862,-0.1700733351968941,-0.3319241320151638,113.15
0.06299412668424065,-0.18982028343485804,0.0,0.2662046515318618,0.0027144239214465238,-0.0017157339813558337,113.16
0.06318391543897764,-0.18975719440853916,0.0,0.33028392965898423,-0.007234137274369196,0.08747796423563238,113.17
0.06337364100980512,-0.18969391562504145,0.0,0.13383469927371244,0.13920565277173236,0.0584511602886949,113.18
0.06356330320699688,-0.18963044714764396,0.0,0.3057179348332158,0.287229891341954,-0.09204001431381063,113.19
0.06375290184089005,-0.1895667890398153,0.0,0.0006470287562319182,-0.2539680180099144,0.030556665095869996,113.2
0.06394243672188737,-0.1895029413652132,0.0,-0.07951540271167956,-0.43929246570075287,-0.16640099094405617,113.21
0.0641319076604533,-0.18943890418768553,0.0,0.2739732551280284,-0.5220488303509405,-0.054441924979320544,113.22
