timestamp, measured distance, true distance, distance error
94.16708901344616,53.19341042404848,52.659827454341965,3,-0.5335829697065151
94.84645865050453,38.29117047097291,37.4316980048846,4,-0.859472466088306
96.23081154992082,15.362442341625936,15.67506896669125,1,0.31262662506531314
96.96766999295531,39.309039673337004,39.610195637209735,2,0.3011559638727306
97.68645753968927,52.17231892974686,51.80589676349264,3,-0.36642216625421753
98.36546742242942,36.87680784465526,35.99999068912154,4,-0.8768171555337219
99.75168179284593,16.780132883638377,16.96501977888716,1,0.1848868952487841
100.48804979096735,39.915179797292524,40.110310806702536,2,0.19513100941001227
101.20575556905932,51.36317973235122,50.78457456534814,3,-0.578605167003083
101.88452088670886,35.30454837758136,34.73114155866532,4,-0.5734068189160411
103.27253438039443,17.819212075444703,18.151650120388354,1,0.33243804494365037
104.00822374217645,40.1637633562677,40.33596240429809,2,0.17219904803038588
104.72508345044182,50.308121657048254,49.87967386842761,3,-0.4284477886206446
105.40379718335328,34.31237290501422,33.73848503954448,4,-0.573887865469743
106.79324163501435,18.872724994949877,19.176690163104524,1,0.30396516815464736
107.52840945109573,40.47012820464744,40.60519543427524,2,0.1350672296278006
108.2444904231018,49.51055985606513,49.02793139791986,3,-0.4826284581452711
108.91310327217172,33.26597275190674,32.64526143376802,4,-0.6207113181387172
110.32405439525009,19.91300044452736,20.339805370531725,1,0.42680492600436537
111.04868428689143,40.83817330797456,41.00558521788568,2,0.16741190991112376
111.76384006594452,48.5628404115347,48.0859535144419,3,-0.47688689709280396
112.43225232161026,32.088870219953044,31.466267732531126,4,-0.6226024874219185
113.84491680767444,21.187586084766668,21.624617937728353,1,0.43703185296168456
114.56897567835472,41.27816839931414,41.42514762196619,2,0.14697922265204966
115.27313510637259,47.47072146450861,47.05486266041449,3,-0.415858804094114
115.95143870381146,30.98955796165394,30.33974600331329,4,-0.6498119583406492
117.36581317964429,22.479423293041705,22.850048168478626,1,0.3706248754369206
118.08921658620415,41.68418637992945,41.78598448567013,2,0.10179810574067716
118.79245577242928,46.589499375321495,46.06845722851567,3,-0.5210421468058257
119.47063079962612,29.94117189421088,29.123017595606253,4,-0.8181542986046253
120.88676855212451,24.001905877418512,24.160027217942524,1,0.15812134052401206
121.60955968918819,42.193785985950534,42.27411162340261,2,0.0803256374520771
122.31181051928073,45.648237003379,45.26625379425343,3,-0.38198320912557193
122.98991201267114,28.677010228840818,28.134567762502236,4,-0.5424424663385814
124.40745740526081,24.811344633512714,25.222756637980012,1,0.411412004467298
125.12992265681298,42.63018239957678,42.80044628480948,2,0.17026388523269986
125.83122386060623,44.88426764082609,44.33684580158481,3,-0.5474218392412808
126.50912211282713,27.737980629284912,27.088204396409385,4,-0.6497762328755279
127.92833818770727,25.987164672681335,26.400214750710248,1,0.41305007802891325
128.65015110139245,42.942851357150886,43.13514515861031,2,0.19229380145942088
129.35056451379893,43.836427140490386,43.35429679333764,3,-0.48213034715274716
130.0284723243754,26.658776863464784,26.195160846313435,4,-0.4636160171513488
131.44914585166782,27.290905892456273,27.468137923380695,1,0.1772320309244222
132.17026675346204,43.36548111072835,43.125725125806504,2,-0.23975598492184957
132.86995415254094,42.91066115795476,42.69487246441997,3,-0.21578869353479035
133.5482344515127,26.096305786658295,25.946101101421913,4,-0.15020468523638186
134.97949645815223,27.861680921367004,27.99834968651631,1,0.13666876514930593
135.70031427844248,43.08813663997276,43.44252841210115,2,0.35439177212838757
136.39965235163123,42.43294992867386,42.17470302005046,3,-0.2582469086233985
137.0777430834697,25.569476371756355,25.08945444393191,4,-0.4800219278244455
138.51016885358027,28.671138670030725,29.081073025010046,1,0.4099343549793204
139.2307346862056,43.682281334886056,43.98614665035597,2,0.30386531546991336
139.92907151822155,41.68256657203021,41.27805425258158,3,-0.404512319448628
140.60705082204734,24.56678537327492,24.04844977838998,4,-0.5183355948849417
142.04107781544866,29.947990628887837,30.381806716069555,1,0.43381608718171805
142.76126818115478,44.46317278860321,44.74205027744244,2,0.27887748883922825
143.45854798537783,40.939415872811985,40.5579393138895,3,-0.3814765589224862
144.13626698503194,23.575767150257743,22.990333250811595,4,-0.5854338994461479
145.5619027023935,31.24356280618462,31.542903897579723,1,0.2993410913951031
146.28165342979412,45.138674842394536,45.33564672887302,2,0.19697188647848662
146.97796729212578,40.24211553318378,39.75573804137139,3,-0.48637749181239087
147.6555519836457,22.616214805540295,21.95910903318693,4,-0.6571057723533649
149.0827655714629,32.4538425067723,32.72601558093336,1,0.27217307416105996
149.8021317625485,45.77021895991477,45.993605734529304,2,0.22338677461453216
150.49745329788598,39.23813659899668,38.983381653307916,3,-0.25475494568876655
151.17492145112195,21.58967261301463,21.07139704920096,4,-0.5182755638136705
152.6135708350006,33.571193738135136,33.915262271015116,1,0.3440685328799802
153.3326271335283,46.39082506094697,46.73626440911882,2,0.3454393481718441
154.02697523624755,38.571193117328384,38.398296419219,3,-0.17289669810938335
154.70420285701675,20.597383923094327,20.062683283842322,4,-0.5347006392520051
156.15438745097725,34.71000143019006,35.04509881627841,1,0.33509738608834994
156.86312586540416,47.19494434814936,47.421395938554156,2,0.22645159040479257
157.55652347265848,38.012407447476924,37.698629585634194,3,-0.3137778618427305
158.2336284878167,19.738292806133845,19.303543670308045,4,-0.43474913582580044
159.6850803285528,35.80409270714078,36.054379977331195,1,0.2502872701904124
160.39347407220356,47.59720781541614,47.91666502699978,2,0.3194572115836394
161.0860679394975,37.47532944966786,37.062846441099495,3,-0.4124830085683655
161.75318980465872,19.008268405461834,18.634503078866604,4,-0.37376532659522965
163.21588145800686,36.74912476662943,37.233379978587706,1,0.4842552119582777
163.93393561978323,48.31914356617461,48.6007412061059,2,0.2815976399312916
164.61554143290672,36.707063638594136,36.258981908375446,3,-0.44808173021868924
165.282667429459,18.252646908568234,17.976355117343598,4,-0.27629179122463654
166.74668345446574,38.033373599197276,38.31130345578615,1,0.2779298565888766
167.4643238993848,48.83022188711457,49.13788773191536,2,0.30766584480079473
168.14509341149784,35.97541716441577,35.64809194384863,3,-0.32732522056713975
168.81223073668707,17.69033900720993,17.407576152282317,4,-0.28276285492761133
170.27733931837363,38.93156308415558,39.14700788579826,1,0.21544480164268265
170.99458299713936,49.28973341058432,49.294840956957,2,0.005107546372684624
171.67467166314705,35.36009718153576,35.10804195789253,3,-0.2520552236432252
172.342194376652,17.43127264552142,17.385528213878683,4,-0.04574443164273845
173.80757589029707,39.33730684960705,39.43283285988161,1,0.0955260102745541
174.52453836486987,49.35477923135547,49.13171472164604,2,-0.22306450970943104
175.2043621239795,34.84995837901308,34.47910784023937,3,-0.3708505387737091
177.3278040972328,39.74707153645118,39.741046819855754,1,-0.0060247165954265824
178.04384022319968,48.5255909418082,47.9780059333426,2,-0.547585008465596
178.7234690141559,33.770296881697554,33.14360376076964,3,-0.6266931209279107
179.39336524410786,18.552193765479615,19.36430980699402,4,0.812116041514404
180.84804598631285,39.99592819047191,40.068542516145875,1,0.07261432567396753
181.5530182791439,47.3271192952381,46.86558954933965,2,-0.46152974589844575
182.23255925914629,32.594310463341486,31.946895432683956,3,-0.6474150306575304
182.91422843430126,19.896810502284268,20.562394725880523,4,0.6655842235962552
184.3782563024741,40.30243244793137,40.42255404560948,1,0.12012159767810715
185.0823542731189,46.289554730603264,45.95117159349667,2,-0.3383831371065966
185.7617922087593,31.512852131751703,30.85563836035253,3,-0.6572137713991744
186.4550047384707,20.94022482075229,21.67490853906845,4,0.734683718316159
187.90850116303514,40.59515182963393,40.751383799837335,1,0.1562319702034074
188.6117057349557,45.43411363784208,45.01409639125472,2,-0.4200172465873635
189.2910934979767,30.226087037318077,29.89372234489846,3,-0.33236469241961686
189.98580122579654,22.159169581711577,22.813825547763052,4,0.6546559660514752
191.4387052538632,41.029565242307655,41.05057305774932,1,0.021007815441663524
192.14105136288842,44.36130517065633,44.09952178868217,2,-0.26178338197416195
192.8204124062769,29.32274487183974,28.896376295545583,3,-0.4263685762941556
193.5166017984827,23.245304154696143,23.902459569962673,4,0.65715541526653
194.96897816850495,41.342257310592366,41.392845096011456,1,0.050587785419089926
196.3498030038835,28.381272276671982,28.03389838543793,3,-0.34737389123405293
197.04733503273778,24.3664424749307,25.00736985998276,4,0.6409273850520592
198.4992349796215,41.65890649875216,41.821861855549685,1,0.16295535679752504
199.19986576650783,42.8421224565065,42.418370680048334,2,-0.4237517764581682
199.87913045694506,27.56019341102184,27.079397766812022,3,-0.4807956442098167
200.5781512343233,25.561278743736572,26.174078142104776,4,0.6127993983682032
202.02955615644865,42.19234614803005,42.28686557018385,1,0.09451942215380171
202.72927675674205,41.95744349827803,41.47619374577181,2,-0.4812497525062227
203.40848203723257,26.63590250758457,26.16752545080684,3,-0.468377056777733
204.10905153291245,26.71076607575783,27.44986436637726,4,0.7390982906194274
205.5598544358168,42.54664998238956,42.68323769217645,1,0.1365877097868875
206.25865260767134,41.03568587902122,40.678637943407935,2,-0.35704793561328785
206.93792848499277,25.462771707848653,25.377595417324848,3,-0.08517629052380471
207.6398006823958,27.886923988820875,28.530719233054754,4,0.6437952442338783
209.08016070559856,43.057734318657175,43.117562470520255,1,0.05982815186307988
209.7780495884206,40.08950268248196,39.84046411674058,2,-0.24903856574137961
210.45736328129908,24.927766742432794,24.579840236876798,3,-0.34792650555599636
211.16062888817564,29.055914238391956,29.716695424021296,4,0.6607811856293395
212.6004771450056,43.52390253313031,43.55840690376662,1,0.03450437063630574
213.29752601023895,39.374731993508526,39.2103342221806,2,-0.164397771327927
213.9769216555298,24.34114708077809,23.985329901904645,3,-0.3558171788734441
